sweep,replica,temperature,energy,cmdl,spec,curv,accepted,proposed,code_hash,graph_hash
68,0,1,10.507771,8.854095,1.649990,0.003687,163,483,e0ef94c5ccd545c61a358f1a62e9b8717c3756321e8988d27c4e922ca8b21693,a7b974317b104fe46dd0c43553b07292465cef0acfe8437420854fd3de2da246
69,0,1,10.609137,8.955461,1.649990,0.003687,165,490,ad0af986d2744d87c717a1e05b8aa6604db9a4b62af02b30ae93a28db87b59a4,a7b974317b104fe46dd0c43553b07292465cef0acfe8437420854fd3de2da246
70,0,1,11.626486,9.628748,1.994052,0.003687,167,497,dd8aaa740719d6cc4ac66daf2123a7934a987a11dc3d239411688084c4b1dd05,a7b974317b104fe46dd0c43553b07292465cef0acfe8437420854fd3de2da246
71,0,1,10.507771,8.854095,1.649990,0.003687,170,504,e0ef94c5ccd545c61a358f1a62e9b8717c3756321e8988d27c4e922ca8b21693,a7b974317b104fe46dd0c43553b07292465cef0acfe8437420854fd3de2da246
72,0,1,10.507771,8.854095,1.649990,0.003687,173,511,e0ef94c5ccd545c61a358f1a62e9b8717c3756321e8988d27c4e922ca8b21693,a7b974317b104fe46dd0c43553b07292465cef0acfe8437420854fd3de2da246
73,0,1,9.091788,8.282174,0.805927,0.003687,175,518,e566a0b20848d18dc52df4c716a6ba02613110e90a5a7e4ccd1d51af2b0e1110,a7b974317b104fe46dd0c43553b07292465cef0acfe8437420854fd3de2da246
74,0,1,10.609137,8.955461,1.649990,0.003687,177,525,ad0af986d2744d87c717a1e05b8aa6604db9a4b62af02b30ae93a28db87b59a4,a7b974317b104fe46dd0c43553b07292465cef0acfe8437420854fd3de2da246
75,0,1,10.507771,8.854095,1.649990,0.003687,179,532,e0ef94c5ccd545c61a358f1a62e9b8717c3756321e8988d27c4e922ca8b21693,a7b974317b104fe46dd0c43553b07292465cef0acfe8437420854fd3de2da246
76,0,1,10.518831,8.854095,1.649990,0.014746,183,539,e0ef94c5ccd545c61a358f1a62e9b8717c3756321e8988d27c4e922ca8b21693,55fe5fb3b039e0241a0ba83e731cb61a77c66262d92045c43bae7899e8fec024
77,0,1,9.102848,8.282174,0.805927,0.014746,185,546,e566a0b20848d18dc52df4c716a6ba02613110e90a5a7e4ccd1d51af2b0e1110,55fe5fb3b039e0241a0ba83e731cb61a77c66262d92045c43bae7899e8fec024
78,0,1,11.536180,9.527381,1.994052,0.014746,188,553,b819c5c90ea00d67796595bc41a6b54392b5ee90cb8ab940ccd89c604c81553a,55fe5fb3b039e0241a0ba83e731cb61a77c66262d92045c43bae7899e8fec024
79,0,1,10.620197,8.955461,1.649990,0.014746,190,560,ad0af986d2744d87c717a1e05b8aa6604db9a4b62af02b30ae93a28db87b59a4,55fe5fb3b039e0241a0ba83e731cb61a77c66262d92045c43bae7899e8fec024
80,0,1,11.536180,9.527381,1.994052,0.014746,193,567,add7568bcb823fd00997ce6278d7a75845bb26d203e2d0bf6169331863a2f55b,55fe5fb3b039e0241a0ba83e731cb61a77c66262d92045c43bae7899e8fec024
81,0,1,10.620197,8.955461,1.649990,0.014746,196,574,ad0af986d2744d87c717a1e05b8aa6604db9a4b62af02b30ae93a28db87b59a4,55fe5fb3b039e0241a0ba83e731cb61a77c66262d92045c43bae7899e8fec024
82,0,1,11.536180,9.527381,1.994052,0.014746,199,581,add7568bcb823fd00997ce6278d7a75845bb26d203e2d0bf6169331863a2f55b,55fe5fb3b039e0241a0ba83e731cb61a77c66262d92045c43bae7899e8fec024
83,0,1,10.518831,8.854095,1.649990,0.014746,202,588,e0ef94c5ccd545c61a358f1a62e9b8717c3756321e8988d27c4e922ca8b21693,55fe5fb3b039e0241a0ba83e731cb61a77c66262d92045c43bae7899e8fec024
84,0,1,9.102848,8.282174,0.805927,0.014746,204,595,e566a0b20848d18dc52df4c716a6ba02613110e90a5a7e4ccd1d51af2b0e1110,55fe5fb3b039e0241a0ba83e731cb61a77c66262d92045c43bae7899e8fec024
85,0,1,9.102848,8.282174,0.805927,0.014746,205,602,e566a0b20848d18dc52df4c716a6ba02613110e90a5a7e4ccd1d51af2b0e1110,55fe5fb3b039e0241a0ba83e731cb61a77c66262d92045c43bae7899e8fec024
86,0,1,9.102848,8.282174,0.805927,0.014746,206,609,e566a0b20848d18dc52df4c716a6ba02613110e90a5a7e4ccd1d51af2b0e1110,55fe5fb3b039e0241a0ba83e731cb61a77c66262d92045c43bae7899e8fec024
